"id","code","account_type","name","reconcile","name@es"
"py_acc_21010403","2.1.01.04.03","liability_payable","Tarjeta de Credito a Pagar-Atlas","True","Tarjeta de Credito a Pagar-Atlas"
"py_acc_21010404","2.1.01.04.04","liability_payable","Tarjeta de Credito a pagar Bancoop","True","Tarjeta de Credito a pagar Bancoop"
"py_acc_21010503","2.1.01.05.03","liability_payable","Dción. Gral. de Recaudación IVA - IRE a Pagar","True","Dción. Gral. de Recaudación IVA - IRE a Pagar"
"py_acc_21010504","2.1.01.05.04","liability_current","Instituto de Prevision Social","False","Instituto de Prevision Social"
"py_acc_21010505","2.1.01.05.05","liability_current","IVA débito fiscal","False","IVA débito fiscal"
"py_acc_21010506","2.1.01.05.06","liability_payable","IVA saldo a pagar","True","IVA saldo a pagar"
"py_acc_21010601","2.1.01.06.01","liability_payable","Descuentos Varios a Pagar","True","Descuentos Varios a Pagar"
"py_acc_21010602","2.1.01.06.02","liability_payable","Sueldo y Remuneraciones a Pagar","True","Sueldo y Remuneraciones a Pagar"
"py_acc_21010603","2.1.01.06.03","liability_payable","Honorarios a Pagar","True","Honorarios a Pagar"
"py_acc_21010604","2.1.01.06.04","liability_payable","Cuentas a Pagar","True","Cuentas a Pagar"
"py_acc_21010606","2.1.01.06.06","liability_payable","Aguinaldos a Pagar","True","Aguinaldos a Pagar"
"py_acc_21010614","2.1.01.06.14","liability_payable","Cuentas a pagar gabinete","True","Cuentas a pagar gabinete"
"py_acc_21010616","2.1.01.06.16","liability_current","Cuentas a Rendir Miguel Nuñez","False","Cuentas a Rendir Miguel Nuñez"
"py_acc_21010617","2.1.01.06.17","liability_current","Cuentas a Rendir Silvio Quiñonez","False","Cuentas a Rendir Silvio Quiñonez"
"py_acc_21010620","2.1.01.06.20","liability_current","Cuentas a Rendir Leonardo Dure","False","Cuentas a Rendir Leonardo Dure"
"py_acc_21010621","2.1.01.06.21","liability_current","Cuentas a Rendir Denis Dominguez","False","Cuentas a Rendir Denis Dominguez"
"py_acc_21010702","2.1.01.07.02","liability_payable","Prestamos a Pagar GMC","True","Prestamos a Pagar GMC"
"py_acc_21010703","2.1.01.07.03","liability_payable","Prestamos a Pagar Tassos S.A","True","Prestamos a Pagar Tassos S.A"
"py_acc_21010704","2.1.01.07.04","liability_payable","Prestamos a Pagar Los Dos SA","True","Prestamos a Pagar Los Dos SA"
"py_acc_21010705","2.1.01.07.05","liability_payable","Prestamos a Pagar Jorge Camperchioli","True","Prestamos a Pagar Jorge Camperchioli"
"py_acc_21010706","2.1.01.07.06","liability_payable","Prestamos a Pagar Rocio Celeste Zalimben","True","Prestamos a Pagar Rocio Celeste Zalimben"
"py_acc_21010801","2.1.01.08.01","liability_current","Ingresos diferidos a corto plazo","False","Ingresos diferidos a corto plazo"
"py_acc_21011001","2.1.01.10.01","liability_current","Provisión de Obras en Curso","False","Provisión de Obras en Curso"
"py_acc_31010102","3.1.01.01.02","equity","Capital Suscripto","False","Capital Suscripto"
"py_acc_31010103","3.1.01.01.03","equity","Aportes a Futuras Capitalizaciones","False","Aportes a Futuras Capitalizaciones"
"py_acc_31010104","3.1.01.01.04","equity","(-) Capital a Integrar","False","(-) Capital a Integrar"
"py_acc_31010202","3.1.01.02.02","equity","Reserva Legal","False","Reserva Legal"
"py_acc_31010203","3.1.01.02.03","equity","Reserva Facultativa","False","Reserva Facultativa"
"py_acc_31010301","3.1.01.03.01","equity","Resultados Acumulados","False","Resultados Acumulados"
"py_acc_31010303","3.1.01.03.03","equity_unaffected","Resultado del Ejercicio","False","Resultado del Ejercicio"
"py_acc_41010101","4.1.01.01.01","income","Ventas de Viviendas","False","Ventas de Viviendas"
"py_acc_41010102","4.1.01.01.02","income","Ventas de Mercadería","False","Ventas de Mercadería"
"py_acc_41010104","4.1.01.01.04","income","Otras Ingresos por Viviendas","False","Otras Ingresos por Viviendas"
"py_acc_41010203","4.1.01.02.03","income_other","Intereses Comerciales Cobrados","False","Intereses Comerciales Cobrados"
"py_acc_41010204","4.1.01.02.04","income_other","Ingresos Varios","False","Ingresos Varios"
"py_acc_41010205","4.1.01.02.05","income_other","Diferencia de Cambio","False","Diferencia de Cambio"
"py_acc_41010206","4.1.01.02.06","income_other","Ingreso por reembolso de seguro medico","False","Ingreso por reembolso de seguro medico"
"py_acc_51010110","5.1.01.01.10","expense","Sueldos y Jornales - Ventas","False","Sueldos y Jornales - Ventas"
"py_acc_51010111","5.1.01.01.11","expense","Comisiones Pagadas - Ventas","False","Comisiones Pagadas - Ventas"
