"id","description","invoice_label","name","active","sequence","amount_type","amount","tax_group_id","type_tax_use","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","name@es","description@es","invoice_label@es","price_include_override",
"ri_tax_percepcion_iva_aplicada","Perc VAT 0%","Perception VAT","Perc VAT","4","120","percent","0","tax_group_percepcion_iva","sale","base","invoice","","Perc IVA","Percepción IVA","Perc IVA","tax_included"
"","","","","","","","","","","tax","invoice","ri_percepcion_iva_aplicada","","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","ri_percepcion_iva_aplicada","","","",""
"ri_tax_percepcion_ganancias_aplicada","Perc Profits 0%","Perception of Profits","Perc Profits","4","130","percent","0","tax_group_percepcion_ganancias","sale","base","invoice","","Perc Gananc","Percepción Ganancias","Perc Ganancias","tax_included"
"","","","","","","","","","","tax","invoice","ri_percepcion_ganancias_aplicada","","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","ri_percepcion_ganancias_aplicada","","","",""
"ri_tax_percepcion_ganancias_sufrida","Perc Profits","Perception of Profits","Perc Profits","4","140","fixed","1","tax_group_percepcion_ganancias","purchase","base","invoice","","Perc Gananc","Percepción Ganancias","Perc Ganancias","tax_included"
"","","","","","","","","","","tax","invoice","base_percepcion_ganancias_sufrida","","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","base_percepcion_ganancias_sufrida","","","",""
